x, y, z
2.6251830e-01,  1.0842022e-19, -2.7138805e-02
1.9921299e-01,  0.0000000e+00, -1.3257840e-02
2.1166955e-01,  0.0000000e+00,  2.6020986e-02
2.9560429e-01,  0.0000000e+00,  1.5145674e-02
2.5017535e-01,  1.0842022e-19, -2.9266032e-02
1.9743160e-01,  0.0000000e+00, -8.2025329e-03
2.1853235e-01,  0.0000000e+00,  2.8606806e-02
3.0297765e-01,  0.0000000e+00,  7.6641728e-03
2.3608278e-01,  0.0000000e+00, -2.9589006e-02
1.9788525e-01, -5.4210109e-20, -9.0776167e-04
2.3252140e-01,  0.0000000e+00,  2.9556050e-02
3.0419584e-01,  0.0000000e+00, -5.2308477e-03
2.2079726e-01,  1.0842022e-19, -2.8973823e-02
1.9738367e-01,  0.0000000e+00,  6.8905778e-03
2.4746706e-01,  0.0000000e+00,  2.9474894e-02
2.9753298e-01,  0.0000000e+00, -1.3877626e-02
2.1288880e-01,  1.0842022e-19, -2.6834473e-02
1.9842941e-01,  0.0000000e+00,  1.2090703e-02
2.5923271e-01,  1.6940659e-21,  2.7927208e-02
2.8716102e-01,  0.0000000e+00, -1.9105846e-02
2.0765985e-01, -2.7105054e-20, -2.2277211e-02
2.0315303e-01,  1.0842022e-19,  1.7659449e-02
2.7529576e-01, -1.0842022e-19,  2.3371421e-02
2.7008927e-01,  0.0000000e+00, -2.5073256e-02
2.0133604e-01,  0.0000000e+00, -1.5897396e-02
2.0913766e-01, -1.6940659e-21,  2.3925347e-02
2.9078178e-01, -1.3552527e-20,  1.7686083e-02
2.5591874e-01,  0.0000000e+00, -2.8603852e-02
1.9779750e-01,  0.0000000e+00, -1.0834430e-02
2.1438866e-01,  0.0000000e+00,  2.7586736e-02
2.9949407e-01,  2.7105054e-20,  1.2267906e-02
2.4420252e-01, -1.0842022e-19, -2.9621482e-02
1.9744541e-01,  1.0842022e-19, -5.2347207e-03
2.2385275e-01,  1.0842022e-19,  2.9297786e-02
3.0511818e-01,  1.3552527e-20,  2.1317173e-03
2.2855458e-01,  0.0000000e+00, -2.9503567e-02
1.9771367e-01,  0.0000000e+00,  2.8709537e-03
2.3978471e-01,  1.0842022e-19,  2.9632618e-02
3.0152716e-01,  0.0000000e+00, -9.8994032e-03
2.1651773e-01,  1.0842022e-19, -2.8203521e-02
1.9750994e-01,  0.0000000e+00,  9.4132575e-03
2.5270757e-01,  0.0000000e+00,  2.9033590e-02
2.9366425e-01,  1.3552527e-20, -1.6282535e-02
2.1055609e-01,  0.0000000e+00, -2.5198455e-02
2.0001562e-01,  0.0000000e+00,  1.4361242e-02
2.6563591e-01,  0.0000000e+00,  2.6342210e-02
2.7998640e-01,  0.0000000e+00, -2.1707461e-02
2.0492758e-01,  0.0000000e+00, -1.9329693e-02
2.0619415e-01, -1.0842022e-19,  2.0622302e-02
2.8330265e-01,  5.4210109e-20,  2.0506376e-02
2.6261685e-01, -5.4210109e-20, -2.7114294e-02
1.9923741e-01,  1.0842022e-19, -1.3292835e-02
2.1163366e-01,  0.0000000e+00,  2.5995706e-02
2.9554489e-01,  0.0000000e+00,  1.5182623e-02
2.5025606e-01, -5.4210109e-20, -2.9259248e-02
1.9743327e-01,  0.0000000e+00, -8.2415445e-03
2.1846660e-01,  0.0000000e+00,  2.8594812e-02
3.0293494e-01, -5.4210109e-20,  7.7367961e-03
2.3619622e-01, -5.4210109e-20, -2.9590358e-02
1.9788218e-01,  0.0000000e+00, -9.6692876e-04
2.3240252e-01, -1.0842022e-19,  2.9555138e-02
3.0423090e-01,  5.4210109e-20, -5.1444617e-03
2.2087925e-01,  0.0000000e+00, -2.8985370e-02
1.9738308e-01,  0.0000000e+00,  6.8440229e-03
2.4737226e-01,  0.0000000e+00,  2.9481185e-02
2.9759759e-01,  0.0000000e+00, -1.3832105e-02
2.1293212e-01,  0.0000000e+00, -2.6860836e-02
1.9840490e-01, -2.7105054e-20,  1.2050862e-02
2.5912182e-01,  0.0000000e+00,  2.7952393e-02
2.8728726e-01,  0.0000000e+00, -1.9059201e-02
2.0770859e-01, -5.4210109e-20, -2.2333641e-02
2.0309079e-01, -5.4210109e-20,  1.7601391e-02
2.7512682e-01, -1.0842022e-19,  2.3429523e-02
2.7025302e-01,  0.0000000e+00, -2.5022873e-02
2.0138935e-01,  0.0000000e+00, -1.5952885e-02
2.0908984e-01,  1.0842022e-19,  2.3876086e-02
2.9067299e-01,  0.0000000e+00,  1.7732474e-02
2.5602544e-01,  5.4210109e-20, -2.8585436e-02
1.9781287e-01,  1.0842022e-19, -1.0877989e-02
2.1433060e-01,  5.4210109e-20,  2.7564006e-02
2.9942769e-01,  1.0842022e-19,  1.2331576e-02
2.4432786e-01,  0.0000000e+00, -2.9618678e-02
1.9743968e-01,  0.0000000e+00, -5.3005548e-03
2.2372570e-01,  0.0000000e+00,  2.9288365e-02
3.0509583e-01,  0.0000000e+00,  2.2553664e-03
2.2870235e-01,  0.0000000e+00, -2.9506870e-02
1.9772191e-01,  0.0000000e+00,  2.7977900e-03
2.3964819e-01,  0.0000000e+00,  2.9631389e-02
3.0158325e-01,  0.0000000e+00, -9.8215863e-03
2.1658697e-01,  1.0842022e-19, -2.8219388e-02
1.9750550e-01,  0.0000000e+00,  9.3701468e-03
